temperature,humidity,rainfall,wind_speed,sea_level_anomaly,soil_moisture,pressure,seismic_activity_index,tectonic_stress,historical_earthquake_frequency,disaster_type,disaster_occurred
42,28,2,12,0.03,18,1004,1.8,2.4,1.2,heatwave,1
44,22,0,10,0.02,15,1002,2.1,2.0,1.0,heatwave,1
40,35,4,14,0.01,22,1006,1.6,2.2,1.4,heatwave,1
31,84,142,28,0.18,92,996,2.8,2.6,1.8,flood,1
29,88,186,24,0.22,96,992,2.4,2.1,1.6,flood,1
30,81,118,20,0.16,89,998,2.2,2.3,1.4,flood,1
27,78,76,72,0.31,70,982,2.5,2.4,1.7,cyclone,1
28,82,96,88,0.42,78,976,2.6,2.8,1.9,cyclone,1
26,85,110,94,0.48,82,970,2.1,2.2,1.5,cyclone,1
35,58,10,18,0.04,36,1010,2.5,2.9,1.7,none,0
33,61,8,16,0.03,42,1011,1.7,2.1,1.3,none,0
32,55,0,11,0.01,28,1013,2.0,2.2,1.5,none,0
37,41,1,13,0.02,25,1008,1.9,2.7,1.6,none,0
30,73,42,19,0.09,65,1002,2.4,2.8,1.9,none,0
34,68,55,22,0.11,72,999,2.3,2.2,1.4,flood,1
39,32,0,15,0.01,17,1005,1.5,1.9,1.0,heatwave,1
28,76,68,62,0.27,68,986,2.2,2.6,1.6,cyclone,1
31,79,101,18,0.14,86,997,2.6,2.1,1.8,flood,1
36,49,12,17,0.04,38,1009,2.2,2.4,1.6,none,0
43,24,0,16,0.02,14,1001,1.7,2.0,1.1,heatwave,1
29,83,132,25,0.20,91,995,2.9,2.5,1.7,flood,1
27,80,91,79,0.36,75,980,2.4,2.8,1.8,cyclone,1
33,60,18,14,0.05,45,1012,2.1,2.4,1.5,none,0
38,37,3,12,0.02,21,1007,1.8,2.2,1.1,none,0
41,29,1,18,0.03,19,1003,1.6,2.1,1.0,heatwave,1
30,86,158,21,0.24,95,993,2.7,2.3,1.8,flood,1
28,84,105,83,0.40,79,978,2.3,2.5,1.6,cyclone,1
35,62,25,15,0.06,53,1008,2.0,2.3,1.5,none,0
32,77,82,23,0.13,80,998,2.5,2.1,1.7,flood,1
26,81,88,68,0.33,73,984,2.6,2.4,1.8,cyclone,1
24,52,6,13,0.02,34,1010,8.4,8.1,7.8,earthquake,1
22,48,2,11,0.01,30,1012,8.9,8.6,8.2,earthquake,1
27,55,14,16,0.03,41,1008,7.8,8.3,7.5,earthquake,1
29,61,20,18,0.04,52,1005,8.1,7.7,7.9,earthquake,1
25,45,0,10,0.01,28,1014,7.4,8.0,7.1,earthquake,1
31,58,8,14,0.02,37,1009,8.6,8.8,8.4,earthquake,1
23,50,11,12,0.02,39,1011,7.9,7.6,7.2,earthquake,1
28,57,16,17,0.03,44,1007,8.2,8.4,7.6,earthquake,1
